2016-08-03 16:50:15:924  INFO TASK:mkdb.Worker.procedure.46 - 角色[4097]任务1010000,准备接去循环任务!questid:0
2016-08-03 16:50:15:924  INFO TASK:mkdb.Worker.procedure.46 - 角色[4097]暗夜马戏团任务一周数据刷新，随机新任务。
2016-08-03 16:50:15:924  WARN TASK:mkdb.Worker.procedure.46 - 角色[4097]当前等级:18！随机任务总权重:0错误(<=0)！
2016-08-03 16:50:15:924  INFO TASK:mkdb.Worker.procedure.46 - 角色[4097]循环任务1010000,强制:false,AutoAddCircTask!
2016-08-03 16:50:15:924  INFO TASK:mkdb.Worker.procedure.46 - 角色[4097]任务1010000,准备接去循环任务!questid:0
2016-08-03 16:50:15:924  INFO TASK:mkdb.Worker.procedure.46 - 角色[4097]暗夜马戏团任务一周数据刷新，随机新任务。
2016-08-03 16:50:15:924  WARN TASK:mkdb.Worker.procedure.46 - 角色[4097]当前等级:19！随机任务总权重:0错误(<=0)！
2016-08-03 16:50:15:924  INFO TASK:mkdb.Worker.procedure.46 - 角色[4097]循环任务1010000,强制:false,AutoAddCircTask!
2016-08-03 16:50:15:924  INFO TASK:mkdb.Worker.procedure.46 - 角色[4097]任务1010000,准备接去循环任务!questid:0
2016-08-03 16:50:15:924  INFO TASK:mkdb.Worker.procedure.46 - 角色[4097]暗夜马戏团任务一周数据刷新，随机新任务。
2016-08-03 16:50:15:924  WARN TASK:mkdb.Worker.procedure.46 - 角色[4097]当前等级:20！随机任务总权重:0错误(<=0)！
2016-08-03 16:50:15:924  INFO TASK:mkdb.Worker.procedure.46 - 角色[4097]循环任务1010000,强制:false,AutoAddCircTask!
2016-08-03 16:50:15:924  INFO TASK:mkdb.Worker.procedure.46 - 角色[4097]任务1010000,准备接去循环任务!questid:0
2016-08-03 16:50:15:924  INFO TASK:mkdb.Worker.procedure.46 - 角色[4097]暗夜马戏团任务一周数据刷新，随机新任务。
2016-08-03 16:50:15:924  WARN TASK:mkdb.Worker.procedure.46 - 角色[4097]当前等级:21！随机任务总权重:0错误(<=0)！
2016-08-03 16:50:15:924  INFO TASK:mkdb.Worker.procedure.46 - 角色[4097]循环任务1010000,强制:false,AutoAddCircTask!
2016-08-03 16:50:15:924  INFO TASK:mkdb.Worker.procedure.46 - 角色[4097]任务1010000,准备接去循环任务!questid:0
2016-08-03 16:50:15:924  INFO TASK:mkdb.Worker.procedure.46 - 角色[4097]暗夜马戏团任务一周数据刷新，随机新任务。
2016-08-03 16:50:15:924  WARN TASK:mkdb.Worker.procedure.46 - 角色[4097]当前等级:22！随机任务总权重:0错误(<=0)！
2016-08-03 16:50:15:924  INFO TASK:mkdb.Worker.procedure.46 - 角色[4097]循环任务1010000,强制:false,AutoAddCircTask!
2016-08-03 16:50:15:924  INFO TASK:mkdb.Worker.procedure.46 - 角色[4097]任务1010000,准备接去循环任务!questid:0
2016-08-03 16:50:15:924  INFO TASK:mkdb.Worker.procedure.46 - 角色[4097]暗夜马戏团任务一周数据刷新，随机新任务。
2016-08-03 16:50:15:924  WARN TASK:mkdb.Worker.procedure.46 - 角色[4097]当前等级:23！随机任务总权重:0错误(<=0)！
2016-08-03 16:50:15:924  INFO TASK:mkdb.Worker.procedure.46 - 角色[4097]循环任务1010000,强制:false,AutoAddCircTask!
2016-08-03 16:50:15:924  INFO TASK:mkdb.Worker.procedure.46 - 角色[4097]任务1010000,准备接去循环任务!questid:0
2016-08-03 16:50:15:940  INFO TASK:mkdb.Worker.procedure.46 - 角色[4097]暗夜马戏团任务一周数据刷新，随机新任务。
2016-08-03 16:50:15:940  WARN TASK:mkdb.Worker.procedure.46 - 角色[4097]当前等级:24！随机任务总权重:0错误(<=0)！
2016-08-03 16:50:15:940  INFO TASK:mkdb.Worker.procedure.46 - 角色[4097]循环任务1010000,强制:false,AutoAddCircTask!
2016-08-03 16:50:15:940  INFO TASK:mkdb.Worker.procedure.46 - 角色[4097]任务1010000,准备接去循环任务!questid:0
2016-08-03 16:50:15:940  INFO TASK:mkdb.Worker.procedure.46 - 角色[4097]暗夜马戏团任务一周数据刷新，随机新任务。
2016-08-03 16:50:15:940  WARN TASK:mkdb.Worker.procedure.46 - 角色[4097]当前等级:25！随机任务总权重:0错误(<=0)！
2016-08-03 16:50:15:940  INFO TASK:mkdb.Worker.procedure.46 - 角色[4097]循环任务1010000,强制:false,AutoAddCircTask!
2016-08-03 16:50:15:940  INFO TASK:mkdb.Worker.procedure.46 - 角色[4097]任务1010000,准备接去循环任务!questid:0
2016-08-03 16:50:15:940  INFO TASK:mkdb.Worker.procedure.46 - 角色[4097]暗夜马戏团任务一周数据刷新，随机新任务。
2016-08-03 16:50:15:940  WARN TASK:mkdb.Worker.procedure.46 - 角色[4097]当前等级:26！随机任务总权重:0错误(<=0)！
2016-08-03 16:50:15:940  INFO TASK:mkdb.Worker.procedure.46 - 角色[4097]循环任务1010000,强制:false,AutoAddCircTask!
2016-08-03 16:50:15:940  INFO TASK:mkdb.Worker.procedure.46 - 角色[4097]任务1010000,准备接去循环任务!questid:0
2016-08-03 16:50:15:940  INFO TASK:mkdb.Worker.procedure.46 - 角色[4097]暗夜马戏团任务一周数据刷新，随机新任务。
2016-08-03 16:50:15:940  WARN TASK:mkdb.Worker.procedure.46 - 角色[4097]当前等级:27！随机任务总权重:0错误(<=0)！
2016-08-03 16:50:15:940  INFO TASK:mkdb.Worker.procedure.46 - 角色[4097]循环任务1010000,强制:false,AutoAddCircTask!
2016-08-03 16:50:15:940  INFO TASK:mkdb.Worker.procedure.46 - 角色[4097]任务1010000,准备接去循环任务!questid:0
2016-08-03 16:50:15:940  INFO TASK:mkdb.Worker.procedure.46 - 角色[4097]暗夜马戏团任务一周数据刷新，随机新任务。
2016-08-03 16:50:15:940  WARN TASK:mkdb.Worker.procedure.46 - 角色[4097]当前等级:28！随机任务总权重:0错误(<=0)！
2016-08-03 16:50:15:940  INFO TASK:mkdb.Worker.procedure.46 - 角色[4097]循环任务1010000,强制:false,AutoAddCircTask!
2016-08-03 16:50:15:940  INFO TASK:mkdb.Worker.procedure.46 - 角色[4097]任务1010000,准备接去循环任务!questid:0
2016-08-03 16:50:15:940  INFO TASK:mkdb.Worker.procedure.46 - 角色[4097]暗夜马戏团任务一周数据刷新，随机新任务。
2016-08-03 16:50:15:940  WARN TASK:mkdb.Worker.procedure.46 - 角色[4097]当前等级:29！随机任务总权重:0错误(<=0)！
2016-08-03 16:50:15:940  INFO TASK:mkdb.Worker.procedure.46 - 角色[4097]循环任务1010000,强制:false,AutoAddCircTask!
2016-08-03 16:50:15:940  INFO TASK:mkdb.Worker.procedure.46 - 角色[4097]任务1010000,准备接去循环任务!questid:0
2016-08-03 16:50:15:940  INFO TASK:mkdb.Worker.procedure.46 - 角色[4097]暗夜马戏团任务一周数据刷新，随机新任务。
2016-08-03 16:50:15:940  WARN TASK:mkdb.Worker.procedure.46 - 角色[4097]当前等级:30！随机任务总权重:0错误(<=0)！
2016-08-03 16:50:15:940  INFO TASK:mkdb.Worker.procedure.46 - 角色[4097]循环任务1010000,强制:false,AutoAddCircTask!
2016-08-03 16:50:15:940  INFO TASK:mkdb.Worker.procedure.46 - 角色[4097]任务1010000,准备接去循环任务!questid:0
2016-08-03 16:50:15:940  INFO TASK:mkdb.Worker.procedure.46 - 角色[4097]暗夜马戏团任务一周数据刷新，随机新任务。
